Temperatura,Fluxo de calor,Temperatura,Fluxo de calor,Temperatura,Fluxo de calor,Temperatura,Fluxo de calor
º C,W/g,º C,W/g,º C,W/g,º C,W/g
20 ºC/min,20 ºC/min,15 ºC/min,15 ºC/min,10 ºC/min,10 ºC/min,5 ºC/min,5 ºC/min
"80,06495","-1,064622","80,04934","-0,6936774","80,02232","-0,5040033","80,01954","-0,2924219"
"80,13175","-1,064945","80,09984","-0,6937561","80,05488","-0,5040195","80,0362","-0,2923674"
"80,1985","-1,065284","80,14974","-0,6938351","80,08875","-0,5040356","80,05264","-0,2923124"
"80,26488","-1,0656","80,20026","-0,6939148","80,12175","-0,5040514","80,06989","-0,2922576"
"80,33129","-1,065877","80,25015","-0,6939942","80,15524","-0,504067","80,08603","-0,2922028"
"80,39822","-1,06611","80,29929","-0,6940735","80,18921","-0,5040826","80,11184","-0,2921213"
"80,46516","-1,06633","80,35078","-0,6941529","80,22229","-0,504098","80,1361","-0,2920387"
"80,53176","-1,066562","80,39991","-0,6942326","80,2546","-0,5041132","80,15315","-0,2919827"
"80,59806","-1,06678","80,45044","-0,6943124","80,28874","-0,5041283","80,16946","-0,2919266"
"80,66531","-1,066978","80,49984","-0,694392","80,32081","-0,5041432","80,18701","-0,2918702"
"80,73196","-1,067154","80,55026","-0,6944708","80,3548","-0,504158","80,20319","-0,2918131"
"80,79805","-1,067322","80,60007","-0,6945492","80,38853","-0,5041726","80,22816","-0,2917249"
"80,86566","-1,06749","80,64974","-0,694627","80,42166","-0,504187","80,25394","-0,2916352"
"80,93194","-1,067658","80,69984","-0,694704","80,45465","-0,5042012","80,2696","-0,2915746"
"80,99828","-1,06782","80,75031","-0,6947806","80,48792","-0,5042152","80,28632","-0,2915134"
"81,06519","-1,067968","80,80037","-0,6948563","80,52145","-0,504229","80,3032","-0,291451"
"81,13207","-1,068095","80,85041","-0,6949316","80,55476","-0,5042426","80,32","-0,2913872"
"81,19825","-1,068204","80,89965","-0,6950061","80,58858","-0,5042559","80,34407","-0,2912885"
"81,26572","-1,0683","80,9494","-0,6950799","80,6215","-0,5042691","80,36994","-0,2911892"
"81,33206","-1,06839","80,99975","-0,695153","80,65526","-0,504282","80,38687","-0,2911224"
"81,39951","-1,06848","81,05008","-0,6952255","80,68949","-0,5042946","80,40262","-0,2910547"
"81,46521","-1,06857","81,09921","-0,6952972","80,72208","-0,5043065","80,42001","-0,290986"
"81,53238","-1,068659","81,14965","-0,6953681","80,75516","-0,5043179","80,43713","-0,2909163"
